"2 theta, degree"	Intensity
12.0974	23829.6718
12.1144	23841.2489
12.1314	23661.7329
12.1484	23413.3702
12.1654	23287.0312
12.1824	23307.8066
12.1994	23144.4746
12.2164	23116.2684
12.2334	23146.358
12.2504	23079.6397
12.2674	23136.7645
12.2844	23160.1422
12.3014	23022.3893
12.3184	22964.5367
12.3354	22969.9259
12.3524	23098.3949
12.3694	23274.2568
12.3864	23168.5501
12.4034	23010.241
12.4204	23014.3435
12.4374	23070.0921
12.4544	23363.9861
12.4714	23400.29
12.4884	23480.2485
12.5054	23573.3644
12.5224	23513.7037
12.5394	23740.7852
12.5564	23761.2275
12.5734	23608.9155
12.5904	23902.3821
12.6074	24386.4715
12.6244	24593.5183
12.6414	24879.1174
12.6584	24937.9771
12.6754	25512.481
12.6924	25690.0941
12.7094	26159.8144
12.7264	26808.159
12.7434	27540.4855
12.7604	28467.0022
12.7774	29563.774
12.7944	30176.5809
12.8114	31259.568
12.8284	32120.7537
12.8454	33148.2844
12.8624	34457.0119
12.8794	34878.8164
12.8964	34775.5395
12.9134	33328.0019
12.9304	31068.5556
12.9474	28984.3034
12.9644	27248.631
12.9814	25828.4104
12.9984	24926.4802
13.0154	23837.893
13.0324	23765.7676
13.0494	23250.0481
13.0664	23093.0998
13.0834	22935.9284
13.1004	22995.7919
13.1174	22897.0315
13.1344	22819.4729
13.1514	22784.4366
13.1684	22906.4572
13.1854	22856.8891
13.2024	22811.3146
13.2194	22696.7346
13.2364	22572.6551
13.2534	22607.1018
13.2704	22631.3878
13.2874	22689.9823
13.3044	22700.6241
13.3214	22653.382
13.3384	22508.4137
13.3554	22523.1943
13.3724	22611.4285
13.3894	22399.7824
13.4064	22340.3422
13.4234	22493.8636
13.4404	22579.2304
13.4574	22593
13.4744	22467.9188
13.4914	22391.5938
13.5084	22647.3307
13.5254	22660.7503
13.5424	22714.2061
13.5594	22702.5542
13.5764	22548.5294
13.5934	22305.0968
13.6104	22739.1123
13.6274	22596.6625
13.6444	22604.7846
13.6614	22564.512
13.6784	22301.7119
13.6954	22350.266
13.7124	22525.9981
13.7294	22534.1413
13.7464	22432.3617
13.7634	22680.3111
13.7804	22385.0848
13.7974	22331.6867
13.8144	22303.4053
13.8314	22403.5441
13.8484	22636.3569
13.8654	22460.8719
13.8824	22387.3326
13.8994	22600.7788
13.9164	22303.9251
13.9334	22338.4953
13.9504	22338.5738
13.9674	22306.3304
13.9844	22575.6894
14.0014	22422.4337
14.0184	22422.7148
14.0354	22267.8139
14.0524	22494.811
14.0694	22364.1217
14.0864	22453.95
14.1034	22385.7401
14.1204	22246.2666
14.1374	22288.8432
14.1544	22571.9325
14.1714	22583.5699
14.1884	22567.5432
14.2054	22388.7835
14.2224	22200.8805
14.2394	22334.4689
14.2564	22559.1384
14.2734	22322.5239
14.2904	22345.1352
14.3074	22436.7224
14.3244	22391.5465
14.3414	22428.3644
14.3584	22501.8007
14.3754	22396.3638
14.3924	22570.4638
14.4094	22407.3492
14.4264	22063.3967
14.4434	22292.0866
14.4604	22428.4913
14.4774	22438.16
14.4944	22509.1458
14.5114	22493.5339
14.5284	22417.287
14.5454	22380.6088
14.5624	22337.6587
14.5794	22361.2743
14.5964	22598.6294
14.6134	22337.4971
14.6304	22402.6306
14.6474	22261.4537
14.6644	22552.3089
14.6814	22365.7522
14.6984	22470.6219
14.7154	22389.9441
14.7324	22553.9742
14.7494	22383.583
14.7664	22372.0909
14.7834	22453.3785
14.8004	22302.8865
14.8174	22505.314
14.8344	22201.263
14.8514	22548.517
14.8684	22422.2073
14.8854	22524.9617
14.9024	22505.3261
14.9194	22204.8295
14.9364	22436.666
14.9534	22608.3406
14.9704	22508.2371
14.9874	22251.9218
15.0044	22547.8574
15.0214	22347.0829
15.0384	22678.1086
15.0554	22380.5706
15.0724	22317.2055
15.0894	22405.1408
15.1064	22368.2634
15.1234	22285.1286
15.1404	22480.4366
15.1574	22421.8325
15.1744	22365.8983
15.1914	22466.4926
15.2084	22211.5743
15.2254	22254.1953
15.2424	22353.2486
15.2594	22268.8159
15.2764	22428.996
15.2934	22443.3376
15.3104	22407.4354
15.3274	22511.2953
15.3444	22288.1656
15.3614	22343.4818
15.3784	22466.5278
15.3954	22448.7542
15.4124	22497.5384
15.4294	22403.8454
15.4464	22296.8308
15.4634	22440.4288
15.4804	22399.8247
15.4974	22384.4456
15.5144	22270.3548
15.5314	22437.5539
15.5484	22708.3498
15.5654	22717.6476
15.5824	22653.4391
15.5994	22648.1675
15.6164	22476.7841
15.6334	22267.4985
15.6504	22522.3169
15.6674	22644.8157
15.6844	22761.4431
15.7014	22764.3827
15.7184	22934.5561
15.7354	23017.4461
15.7524	23076.4091
15.7694	22670.7096
15.7864	23001.7091
15.8034	23309.4161
15.8204	23310.0914
15.8374	23333.7603
15.8544	23300.6772
15.8714	23636.4741
15.8884	23896.1375
15.9054	23701.4411
15.9224	23957.6711
15.9394	24672.1166
15.9564	25302.2007
15.9734	26011.1183
15.9904	27188.5768
16.0074	27822.1644
16.0244	28959.5633
16.0414	30087.0811
16.0584	31323.8738
16.0754	33149.7388
16.0924	34772.4088
16.1094	36409.9511
16.1264	37922.8674
16.1434	39403.2428
16.1604	40473.1639
16.1774	42330.9881
16.1944	41695.7407
16.2114	38324.7202
16.2284	34790.6554
16.2454	31384.8611
16.2624	28941.0154
16.2794	27296.6611
16.2964	25933.5595
16.3134	25103.0447
16.3304	24423.1232
16.3474	23741.4366
16.3644	23361.5979
16.3814	23275.0826
16.3984	23402.8014
16.4154	23567.1794
16.4324	23666.8549
16.4494	23858.6335
16.4664	23763.8193
16.4834	23633.1537
16.5004	23703.2405
16.5174	23456.9469
16.5344	23386.5672
16.5514	23880.5533
16.5684	24162.5737
16.5854	24248.794
16.6024	23834.7299
16.6194	23904.145
16.6364	23465.1705
16.6534	22927.7214
16.6704	22776.5089
16.6874	22837.1874
16.7044	22655.5198
16.7214	22662.6499
16.7384	22894.547
16.7554	22578.8348
16.7724	22898.3334
16.7894	22693.0397
16.8064	22747.4309
16.8234	22849.1351
16.8404	22865.7225
16.8574	22851.9822
16.8744	22780.9511
16.8914	22726.0647
16.9084	22661.773
16.9254	22835.9728
16.9424	22785.0355
16.9594	22776.4012
16.9764	22867.5171
16.9934	23023.0003
17.0104	23148.1099
17.0274	23014.2282
17.0444	22711.6511
17.0614	22957.3917
17.0784	23383.9546
17.0954	23198.2937
17.1124	23223.2618
17.1294	23268.3548
17.1464	23262.7004
17.1634	23408.8627
17.1804	23407.4293
17.1974	23279.7457
17.2144	23468.9041
17.2314	23639.7551
17.2484	23884.4748
17.2654	24043.0535
17.2824	24397.4379
17.2994	25012.3064
17.3164	25357.7259
17.3334	25952.5504
17.3504	26506.1154
17.3674	27345.7559
17.3844	28391.8774
17.4014	29363.8156
17.4184	30303.9203
17.4354	31513.3216
17.4524	32910.6925
17.4694	34890.4504
17.4864	38490.3696
17.5034	43356.6096
17.5204	47047.6185
17.5374	49489.128
17.5544	50890.7261
17.5714	47704.4205
17.5884	43316.3743
17.6054	42657.4621
17.6224	47578.4824
17.6394	58287.0549
17.6564	70018.2605
17.6734	77736.9094
17.6904	79633.2479
17.7074	70760.4082
17.7244	57985.9486
17.7414	47793.3116
17.7584	34666.1768
17.7754	27292.4815
17.7924	25000.4363
17.8094	24060.7184
17.8264	23834.4423
17.8434	23774.1379
17.8604	23649.8259
17.8774	23357.1408
17.8944	23498.4273
17.9114	23400.0071
17.9284	23446.0374
17.9454	23227.1795
17.9624	23216.8056
17.9794	23331.1022
17.9964	23181.594
18.0134	23102.0883
18.0304	22957.7073
18.0474	22921.7829
18.0644	22960.1964
18.0814	22819.8552
18.0984	22979.0733
18.1154	23097.4414
18.1324	23074.4512
18.1494	22705.1617
18.1664	22690.1015
18.1834	22981.6203
18.2004	22934.1131
18.2174	22890.4819
18.2344	22795.8896
18.2514	22944.0841
18.2684	22930.7865
18.2854	22885.8882
18.3024	22972.0008
18.3194	22810.1713
18.3364	22946.7262
18.3534	22817.5572
18.3704	22769.2963
18.3874	22972.5791
18.4044	23058.411
18.4214	22974.9677
18.4384	22932.025
18.4554	22851.0093
18.4724	23093.9644
18.4894	23000.8255
18.5064	22939.2032
18.5234	22922.1001
18.5404	22945.6375
18.5574	22838.379
18.5744	22751.0221
18.5914	22870.6004
18.6084	22838.8763
18.6254	22956.7822
18.6424	22854.3585
18.6594	22866.2094
18.6764	22888.8242
18.6934	23159.9123
18.7104	23219.4018
18.7274	22657.1175
18.7444	22777.6116
18.7614	23065.5482
18.7784	23077.9693
18.7954	23078.6875
18.8124	22966.5553
18.8294	22803.9084
18.8464	23161.9891
18.8634	23316.8941
18.8804	22975.0845
18.8974	23484.4435
18.9144	23563.1339
18.9314	23820.3382
18.9484	23950.5894
18.9654	24205.4653
18.9824	24341.0292
18.9994	24353.8352
19.0164	24967.3902
19.0334	25390.2901
19.0504	25648.9769
19.0674	25257.2539
19.0844	24956.4625
19.1014	24554.338
19.1184	24088.2966
19.1354	23606.6411
19.1524	23360
19.1694	23216.8248
19.1864	23058.0689
19.2034	23081.1362
19.2204	22966.0189
19.2374	22922.1589
19.2544	22929.9324
19.2714	22955.0081
19.2884	22904.2192
19.3054	23038.9553
19.3224	23152.3449
19.3394	23170.6338
19.3564	23214.4177
19.3734	23288.949
19.3904	23335.2988
19.4074	23520.7077
19.4244	23668.7369
19.4414	23888.6047
19.4584	24242.8707
19.4754	24599.811
19.4924	25096.5741
19.5094	25824.0187
19.5264	25910.2058
19.5434	26288.3066
19.5604	26688.1658
19.5774	27375.2621
19.5944	28013.224
19.6114	29164.7999
19.6284	31109.5698
19.6454	32427.2163
19.6624	31803.8584
19.6794	31077.3191
19.6964	29929.3954
19.7134	27729.766
19.7304	26269.2329
19.7474	25595.8702
19.7644	24399.5875
19.7814	23640.047
19.7984	23497.7474
19.8154	23278.7096
19.8324	23345.7129
19.8494	23270.6665
19.8664	23237.0083
19.8834	23038.2196
19.9004	23583.3101
19.9174	23732.9939
19.9344	23612.8427
19.9514	23720.8977
19.9684	23848.0238
19.9854	24150.4474
20.0024	24480.3881
20.0194	24787.4218
20.0364	25215.4463
20.0534	25583.1162
20.0704	25885.5373
20.0874	26111.6566
20.1044	26328.9017
20.1214	26263.4113
20.1384	25524.0657
20.1554	25067.931
20.1724	24543.6643
20.1894	23985.2687
20.2064	23602.8657
20.2234	23360.9149
20.2404	23107.2939
20.2574	23023.7122
20.2744	23081.5408
20.2914	22843.8473
20.3084	22841.5513
20.3254	22908.6906
20.3424	22770.0388
20.3594	22799.2203
20.3764	22796.5305
20.3934	22890.2499
20.4104	23121.1536
20.4274	23027.2367
20.4444	22862.9347
20.4614	22781.4462
20.4784	22767.0585
20.4954	23208.5098
20.5124	22848.1087
20.5294	22931.6051
20.5464	22905.8232
20.5634	22961.7116
20.5804	22809.9552
20.5974	23044.7896
20.6144	23066.5917
